"Statistic Label","Month","NACE Group","UNIT","VALUE"
"Retail Sales Index Value Unadjusted","2020 July","Department stores (4719)","Base 2015=100","69.6"
"Retail Sales Index Value Unadjusted","2020 July","Retail sale of automotive fuel (4730)","Base 2015=100","97.7"
"Retail Sales Index Value Unadjusted","2020 July","Retail sale of hardware, paints and glass (4752)","Base 2015=100","158.2"
"Retail Sales Index Value Unadjusted","2020 July","Retail sale of furniture and lighting (4759)","Base 2015=100","109.8"
"Retail Sales Index Value Unadjusted","2020 July","Bars (5630)","Base 2015=100","58.2"
"Retail Sales Index Value Unadjusted","2020 July","All retail businesses","Base 2015=100","124.9"
"Retail Sales Index Value Unadjusted","2020 July","Motor trades and automotive fuel (45,4730)","Base 2015=100","161.8"
"Retail Sales Index Value Unadjusted","2020 July","All retail businesses, excluding motor trades and bars","Base 2015=100","109.9"
"Retail Sales Index Value Unadjusted","2020 July","All retail businesses, excluding motor trades","Base 2015=100","106.8"
"Retail Sales Index Value Unadjusted","2020 July","All retail businesses, excluding motor trades, automotive fuel and bars","Base 2015=100","110.5"
"Retail Sales Index Value Unadjusted","2020 July","Retail sale of food (4711,4721 to 4729)","Base 2015=100","122.8"
"Retail Sales Index Value Unadjusted","2020 July","Retail sale of non food products, excluding motor trades, automotive fuel and bars","Base 2015=100","100.2"
"Retail Sales Index Value Unadjusted","2020 July","Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)","Base 2015=100","113"
"Retail Sales Index Value Unadjusted","2020 July","Retail sale of household equipment (4741 to 4743,4752,4754,4759)","Base 2015=100","122.4"
"Retail Sales Index Value Unadjusted","2020 July","Retail sale of electrical goods (4741 to 4743,4754)","Base 2015=100","115.5"
"Retail Sales Index Value Unadjusted","2020 July","Retail sale of textiles, clothing and footwear (4751,4771,4772)","Base 2015=100","110.3"
"Retail Sales Index Value Unadjusted","2020 July","Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)","Base 2015=100","76.8"
"Retail Sales Index Value Unadjusted","2020 July","Other retail sales (4753,4763 to 4765,4776 to 4778)","Base 2015=100","74.5"
"Retail Sales Index Value Unadjusted","2020 July","Retail sale of books, newspapers and stationery (4761,4762)","Base 2015=100","79.1"
"Retail Sales Index Value Unadjusted","2020 July","Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)","Base 2015=100","109.1"
"Retail Sales Index Value Unadjusted","2020 August","Motor trades (45)","Base 2015=100","113.7"
"Retail Sales Index Value Unadjusted","2020 August","Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)","Base 2015=100","119.4"
"Retail Sales Index Value Unadjusted","2020 August","Department stores (4719)","Base 2015=100","76.6"
"Retail Sales Index Value Unadjusted","2020 August","Retail sale of automotive fuel (4730)","Base 2015=100","93.7"
"Retail Sales Index Value Unadjusted","2020 August","Retail sale of hardware, paints and glass (4752)","Base 2015=100","149.1"
"Retail Sales Index Value Unadjusted","2020 August","Retail sale of furniture and lighting (4759)","Base 2015=100","149.8"
"Retail Sales Index Value Unadjusted","2020 August","Bars (5630)","Base 2015=100","76.7"
"Retail Sales Index Value Unadjusted","2020 August","All retail businesses","Base 2015=100","111.7"
"Retail Sales Index Value Unadjusted","2020 August","Motor trades and automotive fuel (45,4730)","Base 2015=100","112"
"Retail Sales Index Value Unadjusted","2020 August","All retail businesses, excluding motor trades and bars","Base 2015=100","112.7"
"Retail Sales Index Value Unadjusted","2020 August","All retail businesses, excluding motor trades","Base 2015=100","110.4"
"Retail Sales Index Value Unadjusted","2020 August","All retail businesses, excluding motor trades, automotive fuel and bars","Base 2015=100","113.7"
"Retail Sales Index Value Unadjusted","2020 August","Retail sale of food (4711,4721 to 4729)","Base 2015=100","118.7"
"Retail Sales Index Value Unadjusted","2020 August","Retail sale of non food products, excluding motor trades, automotive fuel and bars","Base 2015=100","109.5"
"Retail Sales Index Value Unadjusted","2020 August","Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)","Base 2015=100","112.9"
"Retail Sales Index Value Unadjusted","2020 August","Retail sale of household equipment (4741 to 4743,4752,4754,4759)","Base 2015=100","139.8"
"Retail Sales Index Value Unadjusted","2020 August","Retail sale of electrical goods (4741 to 4743,4754)","Base 2015=100","127.8"
"Retail Sales Index Value Unadjusted","2020 August","Retail sale of textiles, clothing and footwear (4751,4771,4772)","Base 2015=100","102.8"
"Retail Sales Index Value Unadjusted","2020 August","Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)","Base 2015=100","95.5"
"Retail Sales Index Value Unadjusted","2020 August","Other retail sales (4753,4763 to 4765,4776 to 4778)","Base 2015=100","89.4"
"Retail Sales Index Value Unadjusted","2020 August","Retail sale of books, newspapers and stationery (4761,4762)","Base 2015=100","109.6"
"Retail Sales Index Value Unadjusted","2020 August","Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)","Base 2015=100","112.2"
"Retail Sales Index Value Unadjusted","2020 September","Motor trades (45)","Base 2015=100","112.3"
"Retail Sales Index Value Unadjusted","2020 September","Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)","Base 2015=100","121.8"
"Retail Sales Index Value Unadjusted","2020 September","Department stores (4719)","Base 2015=100","77.4"
"Retail Sales Index Value Unadjusted","2020 September","Retail sale of automotive fuel (4730)","Base 2015=100","99.5"
"Retail Sales Index Value Unadjusted","2020 September","Retail sale of hardware, paints and glass (4752)","Base 2015=100","157.2"
"Retail Sales Index Value Unadjusted","2020 September","Retail sale of furniture and lighting (4759)","Base 2015=100","164.3"
"Retail Sales Index Value Unadjusted","2020 September","Bars (5630)","Base 2015=100","61.8"
"Retail Sales Index Value Unadjusted","2020 September","All retail businesses","Base 2015=100","113.8"
"Retail Sales Index Value Unadjusted","2020 September","Motor trades and automotive fuel (45,4730)","Base 2015=100","112"
"Retail Sales Index Value Unadjusted","2020 September","All retail businesses, excluding motor trades and bars","Base 2015=100","116.7"
"Retail Sales Index Value Unadjusted","2020 September","All retail businesses, excluding motor trades","Base 2015=100","113.4"
"Retail Sales Index Value Unadjusted","2020 September","All retail businesses, excluding motor trades, automotive fuel and bars","Base 2015=100","117.6"
"Retail Sales Index Value Unadjusted","2020 September","Retail sale of food (4711,4721 to 4729)","Base 2015=100","121"
"Retail Sales Index Value Unadjusted","2020 September","Retail sale of non food products, excluding motor trades, automotive fuel and bars","Base 2015=100","114.8"
"Retail Sales Index Value Unadjusted","2020 September","Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)","Base 2015=100","114.9"
"Retail Sales Index Value Unadjusted","2020 September","Retail sale of household equipment (4741 to 4743,4752,4754,4759)","Base 2015=100","156.3"
"Retail Sales Index Value Unadjusted","2020 September","Retail sale of electrical goods (4741 to 4743,4754)","Base 2015=100","147.5"
"Retail Sales Index Value Unadjusted","2020 September","Retail sale of textiles, clothing and footwear (4751,4771,4772)","Base 2015=100","93.6"
"Retail Sales Index Value Unadjusted","2020 September","Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)","Base 2015=100","106.8"
"Retail Sales Index Value Unadjusted","2020 September","Other retail sales (4753,4763 to 4765,4776 to 4778)","Base 2015=100","106"
"Retail Sales Index Value Unadjusted","2020 September","Retail sale of books, newspapers and stationery (4761,4762)","Base 2015=100","98.8"
"Retail Sales Index Value Unadjusted","2020 September","Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)","Base 2015=100","117.5"
"Retail Sales Index Value Unadjusted","2020 October","Motor trades (45)","Base 2015=100","78.7"
"Retail Sales Index Value Unadjusted","2020 October","Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)","Base 2015=100","132.3"
"Retail Sales Index Value Unadjusted","2020 October","Department stores (4719)","Base 2015=100","77"
"Retail Sales Index Value Unadjusted","2020 October","Retail sale of automotive fuel (4730)","Base 2015=100","83.8"
"Retail Sales Index Value Unadjusted","2020 October","Retail sale of hardware, paints and glass (4752)","Base 2015=100","153"
"Retail Sales Index Value Unadjusted","2020 October","Retail sale of furniture and lighting (4759)","Base 2015=100","132.8"
"Retail Sales Index Value Unadjusted","2020 October","Bars (5630)","Base 2015=100","27"
"Retail Sales Index Value Unadjusted","2020 October","All retail businesses","Base 2015=100","103"
"Retail Sales Index Value Unadjusted","2020 October","Motor trades and automotive fuel (45,4730)","Base 2015=100","81.5"
"Retail Sales Index Value Unadjusted","2020 October","All retail businesses, excluding motor trades and bars","Base 2015=100","116.9"
"Retail Sales Index Value Unadjusted","2020 October","All retail businesses, excluding motor trades","Base 2015=100","111.4"
"Retail Sales Index Value Unadjusted","2020 October","All retail businesses, excluding motor trades, automotive fuel and bars","Base 2015=100","118.9"
"Retail Sales Index Value Unadjusted","2020 October","Retail sale of food (4711,4721 to 4729)","Base 2015=100","131.8"
"Retail Sales Index Value Unadjusted","2020 October","Retail sale of non food products, excluding motor trades, automotive fuel and bars","Base 2015=100","107.8"
"Retail Sales Index Value Unadjusted","2020 October","Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)","Base 2015=100","127.9"
"Retail Sales Index Value Unadjusted","2020 October","Retail sale of household equipment (4741 to 4743,4752,4754,4759)","Base 2015=100","141.4"
"Retail Sales Index Value Unadjusted","2020 October","Retail sale of electrical goods (4741 to 4743,4754)","Base 2015=100","141.5"
"Retail Sales Index Value Unadjusted","2020 October","Retail sale of textiles, clothing and footwear (4751,4771,4772)","Base 2015=100","85.4"
"Retail Sales Index Value Unadjusted","2020 October","Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)","Base 2015=100","94"
"Retail Sales Index Value Unadjusted","2020 October","Other retail sales (4753,4763 to 4765,4776 to 4778)","Base 2015=100","95.8"
"Retail Sales Index Value Unadjusted","2020 October","Retail sale of books, newspapers and stationery (4761,4762)","Base 2015=100","83.8"
"Retail Sales Index Value Unadjusted","2020 October","Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)","Base 2015=100","127.1"
"Retail Sales Index Value Unadjusted","2020 November","Motor trades (45)","Base 2015=100","55.3"
"Retail Sales Index Value Unadjusted","2020 November","Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)","Base 2015=100","132.6"
"Retail Sales Index Value Unadjusted","2020 November","Department stores (4719)","Base 2015=100","76.6"
"Retail Sales Index Value Unadjusted","2020 November","Retail sale of automotive fuel (4730)","Base 2015=100","89.5"
"Retail Sales Index Value Unadjusted","2020 November","Retail sale of hardware, paints and glass (4752)","Base 2015=100","146.6"
"Retail Sales Index Value Unadjusted","2020 November","Retail sale of furniture and lighting (4759)","Base 2015=100","107.6"
"Retail Sales Index Value Unadjusted","2020 November","Bars (5630)","Base 2015=100","8.8"
"Retail Sales Index Value Unadjusted","2020 November","All retail businesses","Base 2015=100","95.6"
"Retail Sales Index Value Unadjusted","2020 November","Motor trades and automotive fuel (45,4730)","Base 2015=100","61.7"
"Retail Sales Index Value Unadjusted","2020 November","All retail businesses, excluding motor trades and bars","Base 2015=100","115.9"
"Retail Sales Index Value Unadjusted","2020 November","All retail businesses, excluding motor trades","Base 2015=100","109.6"
"Retail Sales Index Value Unadjusted","2020 November","All retail businesses, excluding motor trades, automotive fuel and bars","Base 2015=100","117.6"
"Retail Sales Index Value Unadjusted","2020 November","Retail sale of food (4711,4721 to 4729)","Base 2015=100","131"
"Retail Sales Index Value Unadjusted","2020 November","Retail sale of non food products, excluding motor trades, automotive fuel and bars","Base 2015=100","107.1"
"Retail Sales Index Value Unadjusted","2020 November","Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)","Base 2015=100","117.7"
"Retail Sales Index Value Unadjusted","2020 November","Retail sale of household equipment (4741 to 4743,4752,4754,4759)","Base 2015=100","153.6"
"Retail Sales Index Value Unadjusted","2020 November","Retail sale of electrical goods (4741 to 4743,4754)","Base 2015=100","181.5"
"Retail Sales Index Value Unadjusted","2020 November","Retail sale of textiles, clothing and footwear (4751,4771,4772)","Base 2015=100","48.5"
"Retail Sales Index Value Unadjusted","2020 November","Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)","Base 2015=100","114.8"
"Retail Sales Index Value Unadjusted","2020 November","Other retail sales (4753,4763 to 4765,4776 to 4778)","Base 2015=100","122.3"
"Retail Sales Index Value Unadjusted","2020 November","Retail sale of books, newspapers and stationery (4761,4762)","Base 2015=100","79.9"
"Retail Sales Index Value Unadjusted","2020 November","Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)","Base 2015=100","127.8"
"Retail Sales Index Value Unadjusted","2020 December","Motor trades (45)","Base 2015=100","46.7"
"Retail Sales Index Value Unadjusted","2020 December","Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)","Base 2015=100","150.2"
"Retail Sales Index Value Unadjusted","2020 December","Department stores (4719)","Base 2015=100","159.6"
"Retail Sales Index Value Unadjusted","2020 December","Retail sale of automotive fuel (4730)","Base 2015=100","92.5"
"Retail Sales Index Value Unadjusted","2020 December","Retail sale of hardware, paints and glass (4752)","Base 2015=100","148.9"
"Retail Sales Index Value Unadjusted","2020 December","Retail sale of furniture and lighting (4759)","Base 2015=100","194.9"
"Retail Sales Index Value Unadjusted","2020 December","Bars (5630)","Base 2015=100","50.8"
"Retail Sales Index Value Unadjusted","2020 December","All retail businesses","Base 2015=100","128.5"
"Retail Sales Index Value Unadjusted","2020 December","Motor trades and automotive fuel (45,4730)","Base 2015=100","55.5"
"Retail Sales Index Value Unadjusted","2020 December","All retail businesses, excluding motor trades and bars","Base 2015=100","163.8"
"Retail Sales Index Value Unadjusted","2020 December","All retail businesses, excluding motor trades","Base 2015=100","156.5"
"Retail Sales Index Value Unadjusted","2020 December","All retail businesses, excluding motor trades, automotive fuel and bars","Base 2015=100","168.9"
"Retail Sales Index Value Unadjusted","2020 December","Retail sale of food (4711,4721 to 4729)","Base 2015=100","152"
"Retail Sales Index Value Unadjusted","2020 December","Retail sale of non food products, excluding motor trades, automotive fuel and bars","Base 2015=100","184.7"
"Retail Sales Index Value Unadjusted","2020 December","Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)","Base 2015=100","169.4"
"Retail Sales Index Value Unadjusted","2020 December","Retail sale of household equipment (4741 to 4743,4752,4754,4759)","Base 2015=100","182.6"
"Retail Sales Index Value Unadjusted","2020 December","Retail sale of electrical goods (4741 to 4743,4754)","Base 2015=100","216.3"
"Retail Sales Index Value Unadjusted","2020 December","Retail sale of textiles, clothing and footwear (4751,4771,4772)","Base 2015=100","186"
"Retail Sales Index Value Unadjusted","2020 December","Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)","Base 2015=100","213.7"
"Retail Sales Index Value Unadjusted","2020 December","Other retail sales (4753,4763 to 4765,4776 to 4778)","Base 2015=100","226.1"
"Retail Sales Index Value Unadjusted","2020 December","Retail sale of books, newspapers and stationery (4761,4762)","Base 2015=100","156.4"
"Retail Sales Index Value Unadjusted","2020 December","Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)","Base 2015=100","186.5"
"Retail Sales Index Value Unadjusted","2021 January","Motor trades (45)","Base 2015=100","176.6"
"Retail Sales Index Value Unadjusted","2021 January","Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)","Base 2015=100","114.7"
"Retail Sales Index Value Unadjusted","2021 January","Department stores (4719)","Base 2015=100","37.8"
"Retail Sales Index Value Unadjusted","2021 January","Retail sale of automotive fuel (4730)","Base 2015=100","72.8"
"Retail Sales Index Value Unadjusted","2021 January","Retail sale of hardware, paints and glass (4752)","Base 2015=100","98.6"
"Retail Sales Index Value Unadjusted","2021 January","Retail sale of furniture and lighting (4759)","Base 2015=100","103.5"
"Retail Sales Index Value Unadjusted","2021 January","Bars (5630)","Base 2015=100","7.5"
"Retail Sales Index Value Unadjusted","2021 January","All retail businesses","Base 2015=100","109.1"
"Retail Sales Index Value Unadjusted","2021 January","Motor trades and automotive fuel (45,4730)","Base 2015=100","161.8"
"Retail Sales Index Value Unadjusted","2021 January","All retail businesses, excluding motor trades and bars","Base 2015=100","89.3"
"Retail Sales Index Value Unadjusted","2021 January","All retail businesses, excluding motor trades","Base 2015=100","83.7"
"Retail Sales Index Value Unadjusted","2021 January","All retail businesses, excluding motor trades, automotive fuel and bars","Base 2015=100","90.3"
"Retail Sales Index Value Unadjusted","2021 January","Retail sale of food (4711,4721 to 4729)","Base 2015=100","112.8"
"Retail Sales Index Value Unadjusted","2021 January","Retail sale of non food products, excluding motor trades, automotive fuel and bars","Base 2015=100","71.3"
"Retail Sales Index Value Unadjusted","2021 January","Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)","Base 2015=100","97.1"
"Retail Sales Index Value Unadjusted","2021 January","Retail sale of household equipment (4741 to 4743,4752,4754,4759)","Base 2015=100","117.2"
"Retail Sales Index Value Unadjusted","2021 January","Retail sale of electrical goods (4741 to 4743,4754)","Base 2015=100","120"
"Retail Sales Index Value Unadjusted","2021 January","Retail sale of textiles, clothing and footwear (4751,4771,4772)","Base 2015=100","24.5"
"Retail Sales Index Value Unadjusted","2021 January","Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)","Base 2015=100","68.9"
"Retail Sales Index Value Unadjusted","2021 January","Other retail sales (4753,4763 to 4765,4776 to 4778)","Base 2015=100","73.6"
"Retail Sales Index Value Unadjusted","2021 January","Retail sale of books, newspapers and stationery (4761,4762)","Base 2015=100","33.8"
"Retail Sales Index Value Unadjusted","2021 January","Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)","Base 2015=100","89.1"
"Retail Sales Index Value Unadjusted","2021 February","Motor trades (45)","Base 2015=100","181.3"
"Retail Sales Index Value Unadjusted","2021 February","Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)","Base 2015=100","124.4"
"Retail Sales Index Value Unadjusted","2021 February","Department stores (4719)","Base 2015=100","33.5"
"Retail Sales Index Value Unadjusted","2021 February","Retail sale of automotive fuel (4730)","Base 2015=100","84.2"
"Retail Sales Index Value Unadjusted","2021 February","Retail sale of hardware, paints and glass (4752)","Base 2015=100","133.9"
"Retail Sales Index Value Unadjusted","2021 February","Retail sale of furniture and lighting (4759)","Base 2015=100","142.4"
"Retail Sales Index Value Unadjusted","2021 February","Bars (5630)","Base 2015=100","7.9"
"Retail Sales Index Value Unadjusted","2021 February","All retail businesses","Base 2015=100","117.7"
"Retail Sales Index Value Unadjusted","2021 February","Motor trades and automotive fuel (45,4730)","Base 2015=100","168.6"
"Retail Sales Index Value Unadjusted","2021 February","All retail businesses, excluding motor trades and bars","Base 2015=100","98.9"
"Retail Sales Index Value Unadjusted","2021 February","All retail businesses, excluding motor trades","Base 2015=100","92.9"
"Retail Sales Index Value Unadjusted","2021 February","All retail businesses, excluding motor trades, automotive fuel and bars","Base 2015=100","99.6"
"Retail Sales Index Value Unadjusted","2021 February","Retail sale of food (4711,4721 to 4729)","Base 2015=100","121.8"
"Retail Sales Index Value Unadjusted","2021 February","Retail sale of non food products, excluding motor trades, automotive fuel and bars","Base 2015=100","79.7"
"Retail Sales Index Value Unadjusted","2021 February","Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)","Base 2015=100","100.3"
"Retail Sales Index Value Unadjusted","2021 February","Retail sale of household equipment (4741 to 4743,4752,4754,4759)","Base 2015=100","143.9"
"Retail Sales Index Value Unadjusted","2021 February","Retail sale of electrical goods (4741 to 4743,4754)","Base 2015=100","116.1"
"Retail Sales Index Value Unadjusted","2021 February","Retail sale of textiles, clothing and footwear (4751,4771,4772)","Base 2015=100","28.7"
"Retail Sales Index Value Unadjusted","2021 February","Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)","Base 2015=100","74"
"Retail Sales Index Value Unadjusted","2021 February","Other retail sales (4753,4763 to 4765,4776 to 4778)","Base 2015=100","77.9"
"Retail Sales Index Value Unadjusted","2021 February","Retail sale of books, newspapers and stationery (4761,4762)","Base 2015=100","39.2"
"Retail Sales Index Value Unadjusted","2021 February","Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)","Base 2015=100","96.9"
"Retail Sales Index Value Unadjusted","2021 March","Motor trades (45)","Base 2015=100","128.4"
"Retail Sales Index Value Unadjusted","2021 March","Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)","Base 2015=100","127.8"
"Retail Sales Index Value Unadjusted","2021 March","Department stores (4719)","Base 2015=100","40.6"
"Retail Sales Index Value Unadjusted","2021 March","Retail sale of automotive fuel (4730)","Base 2015=100","92.7"
"Retail Sales Index Value Unadjusted","2021 March","Retail sale of hardware, paints and glass (4752)","Base 2015=100","166.9"
"Retail Sales Index Value Unadjusted","2021 March","Retail sale of furniture and lighting (4759)","Base 2015=100","98.2"
"Retail Sales Index Value Unadjusted","2021 March","Bars (5630)","Base 2015=100","8.4"
"Retail Sales Index Value Unadjusted","2021 March","All retail businesses","Base 2015=100","103"
"Retail Sales Index Value Unadjusted","2021 March","Motor trades and automotive fuel (45,4730)","Base 2015=100","123.1"
"Retail Sales Index Value Unadjusted","2021 March","All retail businesses, excluding motor trades and bars","Base 2015=100","100.5"
"Retail Sales Index Value Unadjusted","2021 March","All retail businesses, excluding motor trades","Base 2015=100","94.3"
"Retail Sales Index Value Unadjusted","2021 March","All retail businesses, excluding motor trades, automotive fuel and bars","Base 2015=100","100.8"
"Retail Sales Index Value Unadjusted","2021 March","Retail sale of food (4711,4721 to 4729)","Base 2015=100","125.2"
"Retail Sales Index Value Unadjusted","2021 March","Retail sale of non food products, excluding motor trades, automotive fuel and bars","Base 2015=100","80.2"
"Retail Sales Index Value Unadjusted","2021 March","Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)","Base 2015=100","103.5"
"Retail Sales Index Value Unadjusted","2021 March","Retail sale of household equipment (4741 to 4743,4752,4754,4759)","Base 2015=100","122.5"
"Retail Sales Index Value Unadjusted","2021 March","Retail sale of electrical goods (4741 to 4743,4754)","Base 2015=100","105.3"
"Retail Sales Index Value Unadjusted","2021 March","Retail sale of textiles, clothing and footwear (4751,4771,4772)","Base 2015=100","32.3"
"Retail Sales Index Value Unadjusted","2021 March","Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)","Base 2015=100","79.5"
"Retail Sales Index Value Unadjusted","2021 March","Other retail sales (4753,4763 to 4765,4776 to 4778)","Base 2015=100","83.2"
"Retail Sales Index Value Unadjusted","2021 March","Retail sale of books, newspapers and stationery (4761,4762)","Base 2015=100","47.6"
"Retail Sales Index Value Unadjusted","2021 March","Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)","Base 2015=100","102.8"
"Retail Sales Index Value Unadjusted","2021 April","Motor trades (45)","Base 2015=100","175.2"
"Retail Sales Index Value Unadjusted","2021 April","Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)","Base 2015=100","134.6"
"Retail Sales Index Value Unadjusted","2021 April","Department stores (4719)","Base 2015=100","21.9"
"Retail Sales Index Value Unadjusted","2021 April","Retail sale of automotive fuel (4730)","Base 2015=100","101.1"
"Retail Sales Index Value Unadjusted","2021 April","Retail sale of hardware, paints and glass (4752)","Base 2015=100","174"
"Retail Sales Index Value Unadjusted","2021 April","Retail sale of furniture and lighting (4759)","Base 2015=100","104.2"
"Retail Sales Index Value Unadjusted","2021 April","Bars (5630)","Base 2015=100","11.6"
"Retail Sales Index Value Unadjusted","2021 April","All retail businesses","Base 2015=100","118.6"
"Retail Sales Index Value Unadjusted","2021 April","Motor trades and automotive fuel (45,4730)","Base 2015=100","165.6"
"Retail Sales Index Value Unadjusted","2021 April","All retail businesses, excluding motor trades and bars","Base 2015=100","103"
"Retail Sales Index Value Unadjusted","2021 April","All retail businesses, excluding motor trades","Base 2015=100","96.8"
"Retail Sales Index Value Unadjusted","2021 April","All retail businesses, excluding motor trades, automotive fuel and bars","Base 2015=100","103"
"Retail Sales Index Value Unadjusted","2021 April","Retail sale of food (4711,4721 to 4729)","Base 2015=100","133.1"
"Retail Sales Index Value Unadjusted","2021 April","Retail sale of non food products, excluding motor trades, automotive fuel and bars","Base 2015=100","78.3"
"Retail Sales Index Value Unadjusted","2021 April","Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)","Base 2015=100","120.5"
"Retail Sales Index Value Unadjusted","2021 April","Retail sale of household equipment (4741 to 4743,4752,4754,4759)","Base 2015=100","116.6"
"Retail Sales Index Value Unadjusted","2021 April","Retail sale of electrical goods (4741 to 4743,4754)","Base 2015=100","92.8"
"Retail Sales Index Value Unadjusted","2021 April","Retail sale of textiles, clothing and footwear (4751,4771,4772)","Base 2015=100","36.6"
"Retail Sales Index Value Unadjusted","2021 April","Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)","Base 2015=100","79"
"Retail Sales Index Value Unadjusted","2021 April","Other retail sales (4753,4763 to 4765,4776 to 4778)","Base 2015=100","83.3"
"Retail Sales Index Value Unadjusted","2021 April","Retail sale of books, newspapers and stationery (4761,4762)","Base 2015=100","42.5"
"Retail Sales Index Value Unadjusted","2021 April","Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)","Base 2015=100","105.8"
"Retail Sales Index Value Unadjusted","2021 May","Motor trades (45)","Base 2015=100","136.4"
"Retail Sales Index Value Unadjusted","2021 May","Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)","Base 2015=100","128.3"
"Retail Sales Index Value Unadjusted","2021 May","Department stores (4719)","Base 2015=100","56.5"
"Retail Sales Index Value Unadjusted","2021 May","Retail sale of automotive fuel (4730)","Base 2015=100","104"
"Retail Sales Index Value Unadjusted","2021 May","Retail sale of hardware, paints and glass (4752)","Base 2015=100","182.1"
"Retail Sales Index Value Unadjusted","2021 May","Retail sale of furniture and lighting (4759)","Base 2015=100","87.5"
"Retail Sales Index Value Unadjusted","2021 May","Bars (5630)","Base 2015=100","9.2"
"Retail Sales Index Value Unadjusted","2021 May","All retail businesses","Base 2015=100","114.7"
"Retail Sales Index Value Unadjusted","2021 May","Motor trades and automotive fuel (45,4730)","Base 2015=100","133.9"
"Retail Sales Index Value Unadjusted","2021 May","All retail businesses, excluding motor trades and bars","Base 2015=100","111.7"
"Retail Sales Index Value Unadjusted","2021 May","All retail businesses, excluding motor trades","Base 2015=100","105"
"Retail Sales Index Value Unadjusted","2021 May","All retail businesses, excluding motor trades, automotive fuel and bars","Base 2015=100","111.9"
"Retail Sales Index Value Unadjusted","2021 May","Retail sale of food (4711,4721 to 4729)","Base 2015=100","126"
"Retail Sales Index Value Unadjusted","2021 May","Retail sale of non food products, excluding motor trades, automotive fuel and bars","Base 2015=100","99.7"
"Retail Sales Index Value Unadjusted","2021 May","Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)","Base 2015=100","107.6"
"Retail Sales Index Value Unadjusted","2021 May","Retail sale of household equipment (4741 to 4743,4752,4754,4759)","Base 2015=100","115.9"
"Retail Sales Index Value Unadjusted","2021 May","Retail sale of electrical goods (4741 to 4743,4754)","Base 2015=100","102.1"
"Retail Sales Index Value Unadjusted","2021 May","Retail sale of textiles, clothing and footwear (4751,4771,4772)","Base 2015=100","116.6"
"Retail Sales Index Value Unadjusted","2021 May","Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)","Base 2015=100","86.2"
"Retail Sales Index Value Unadjusted","2021 May","Other retail sales (4753,4763 to 4765,4776 to 4778)","Base 2015=100","92.9"
"Retail Sales Index Value Unadjusted","2021 May","Retail sale of books, newspapers and stationery (4761,4762)","Base 2015=100","32.3"
"Retail Sales Index Value Unadjusted","2021 May","Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)","Base 2015=100","102.1"
"Retail Sales Index Value Unadjusted","2021 June","Motor trades (45)","Base 2015=100","102.2"
