"Statistic Label","Month","NACE Group","UNIT","VALUE"
"Retail Sales Index Value Unadjusted","2015 March","Retail sale of hardware, paints and glass (4752)","Base 2015=100","90.4"
"Retail Sales Index Value Unadjusted","2015 March","Retail sale of furniture and lighting (4759)","Base 2015=100","85.5"
"Retail Sales Index Value Unadjusted","2015 March","Bars (5630)","Base 2015=100","90.8"
"Retail Sales Index Value Unadjusted","2015 March","All retail businesses","Base 2015=100","104.1"
"Retail Sales Index Value Unadjusted","2015 March","Motor trades and automotive fuel (45,4730)","Base 2015=100","136.6"
"Retail Sales Index Value Unadjusted","2015 March","All retail businesses, excluding motor trades and bars","Base 2015=100","89.4"
"Retail Sales Index Value Unadjusted","2015 March","All retail businesses, excluding motor trades","Base 2015=100","89.5"
"Retail Sales Index Value Unadjusted","2015 March","All retail businesses, excluding motor trades, automotive fuel and bars","Base 2015=100","88.7"
"Retail Sales Index Value Unadjusted","2015 March","Retail sale of food (4711,4721 to 4729)","Base 2015=100","95.8"
"Retail Sales Index Value Unadjusted","2015 March","Retail sale of non food products, excluding motor trades, automotive fuel and bars","Base 2015=100","82.2"
"Retail Sales Index Value Unadjusted","2015 March","Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)","Base 2015=100","93.2"
"Retail Sales Index Value Unadjusted","2015 March","Retail sale of household equipment (4741 to 4743,4752,4754,4759)","Base 2015=100","85.1"
"Retail Sales Index Value Unadjusted","2015 March","Retail sale of electrical goods (4741 to 4743,4754)","Base 2015=100","80.3"
"Retail Sales Index Value Unadjusted","2015 March","Retail sale of textiles, clothing and footwear (4751,4771,4772)","Base 2015=100","80.5"
"Retail Sales Index Value Unadjusted","2015 March","Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)","Base 2015=100","75.6"
"Retail Sales Index Value Unadjusted","2015 March","Other retail sales (4753,4763 to 4765,4776 to 4778)","Base 2015=100","75.7"
"Retail Sales Index Value Unadjusted","2015 March","Retail sale of books, newspapers and stationery (4761,4762)","Base 2015=100","74.9"
"Retail Sales Index Value Unadjusted","2015 March","Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)","Base 2015=100","89"
"Retail Sales Index Value Unadjusted","2015 April","Motor trades (45)","Base 2015=100","122.3"
"Retail Sales Index Value Unadjusted","2015 April","Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)","Base 2015=100","101.4"
"Retail Sales Index Value Unadjusted","2015 April","Department stores (4719)","Base 2015=100","88.9"
"Retail Sales Index Value Unadjusted","2015 April","Retail sale of automotive fuel (4730)","Base 2015=100","103.9"
"Retail Sales Index Value Unadjusted","2015 April","Retail sale of hardware, paints and glass (4752)","Base 2015=100","116.1"
"Retail Sales Index Value Unadjusted","2015 April","Retail sale of furniture and lighting (4759)","Base 2015=100","80.9"
"Retail Sales Index Value Unadjusted","2015 April","Bars (5630)","Base 2015=100","88.4"
"Retail Sales Index Value Unadjusted","2015 April","All retail businesses","Base 2015=100","101.7"
"Retail Sales Index Value Unadjusted","2015 April","Motor trades and automotive fuel (45,4730)","Base 2015=100","119.6"
"Retail Sales Index Value Unadjusted","2015 April","All retail businesses, excluding motor trades and bars","Base 2015=100","94.3"
"Retail Sales Index Value Unadjusted","2015 April","All retail businesses, excluding motor trades","Base 2015=100","94"
"Retail Sales Index Value Unadjusted","2015 April","All retail businesses, excluding motor trades, automotive fuel and bars","Base 2015=100","93.6"
"Retail Sales Index Value Unadjusted","2015 April","Retail sale of food (4711,4721 to 4729)","Base 2015=100","100.7"
"Retail Sales Index Value Unadjusted","2015 April","Retail sale of non food products, excluding motor trades, automotive fuel and bars","Base 2015=100","87.2"
"Retail Sales Index Value Unadjusted","2015 April","Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)","Base 2015=100","94.4"
"Retail Sales Index Value Unadjusted","2015 April","Retail sale of household equipment (4741 to 4743,4752,4754,4759)","Base 2015=100","89"
"Retail Sales Index Value Unadjusted","2015 April","Retail sale of electrical goods (4741 to 4743,4754)","Base 2015=100","79.6"
"Retail Sales Index Value Unadjusted","2015 April","Retail sale of textiles, clothing and footwear (4751,4771,4772)","Base 2015=100","91.9"
"Retail Sales Index Value Unadjusted","2015 April","Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)","Base 2015=100","75"
"Retail Sales Index Value Unadjusted","2015 April","Other retail sales (4753,4763 to 4765,4776 to 4778)","Base 2015=100","74.5"
"Retail Sales Index Value Unadjusted","2015 April","Retail sale of books, newspapers and stationery (4761,4762)","Base 2015=100","76.9"
"Retail Sales Index Value Unadjusted","2015 April","Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)","Base 2015=100","91.6"
"Retail Sales Index Value Unadjusted","2015 May","Motor trades (45)","Base 2015=100","91.9"
"Retail Sales Index Value Unadjusted","2015 May","Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)","Base 2015=100","99.1"
"Retail Sales Index Value Unadjusted","2015 May","Department stores (4719)","Base 2015=100","86.4"
"Retail Sales Index Value Unadjusted","2015 May","Retail sale of automotive fuel (4730)","Base 2015=100","106.3"
"Retail Sales Index Value Unadjusted","2015 May","Retail sale of hardware, paints and glass (4752)","Base 2015=100","113.4"
"Retail Sales Index Value Unadjusted","2015 May","Retail sale of furniture and lighting (4759)","Base 2015=100","75.5"
"Retail Sales Index Value Unadjusted","2015 May","Bars (5630)","Base 2015=100","101.6"
"Retail Sales Index Value Unadjusted","2015 May","All retail businesses","Base 2015=100","93.5"
"Retail Sales Index Value Unadjusted","2015 May","Motor trades and automotive fuel (45,4730)","Base 2015=100","94"
"Retail Sales Index Value Unadjusted","2015 May","All retail businesses, excluding motor trades and bars","Base 2015=100","93.6"
"Retail Sales Index Value Unadjusted","2015 May","All retail businesses, excluding motor trades","Base 2015=100","94.1"
"Retail Sales Index Value Unadjusted","2015 May","All retail businesses, excluding motor trades, automotive fuel and bars","Base 2015=100","92.7"
"Retail Sales Index Value Unadjusted","2015 May","Retail sale of food (4711,4721 to 4729)","Base 2015=100","98.7"
"Retail Sales Index Value Unadjusted","2015 May","Retail sale of non food products, excluding motor trades, automotive fuel and bars","Base 2015=100","87.3"
"Retail Sales Index Value Unadjusted","2015 May","Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)","Base 2015=100","94.7"
"Retail Sales Index Value Unadjusted","2015 May","Retail sale of household equipment (4741 to 4743,4752,4754,4759)","Base 2015=100","88"
"Retail Sales Index Value Unadjusted","2015 May","Retail sale of electrical goods (4741 to 4743,4754)","Base 2015=100","86.6"
"Retail Sales Index Value Unadjusted","2015 May","Retail sale of textiles, clothing and footwear (4751,4771,4772)","Base 2015=100","91.5"
"Retail Sales Index Value Unadjusted","2015 May","Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)","Base 2015=100","79"
"Retail Sales Index Value Unadjusted","2015 May","Other retail sales (4753,4763 to 4765,4776 to 4778)","Base 2015=100","79.5"
"Retail Sales Index Value Unadjusted","2015 May","Retail sale of books, newspapers and stationery (4761,4762)","Base 2015=100","76.5"
